A	
264314	Tłumacz konferencyjny ustny
264315	Tłumacz tekstów
722313	Tokarz / frezer obrabiarek sterowanych numerycznie
752310	Tokarz w drewnie
722314	Tokarz w metalu
228908	Toksykolog
818122	Topiarz fryty
818123	Topiarz mas mineralnych
818124	Topiarz szkła
711605	Toromistrz
214110	Towaroznawca
933308	Tragarz
722207	Traser
732113	Trawiacz poligraficzny
342207	Trener klasy I
342208	Trener klasy II
342209	Trener klasy mistrzowskiej
516404	Trener koni wyścigowych
516405	Treser psów
343506	Treser zwierząt cyrkowych
731708	Trzciniarz
265901	Twórca ludowy
712303	Tynkarz
U	
751106	Ubojowy
723204	Układacz konserwator spadochronów
711606	Układacz nawierzchni drogowych
216403	Urbanista
335103	Urzędnik do spraw imigracji
335401	Urzędnik do spraw licencji
335402	Urzędnik do spraw paszportów
335403	Urzędnik do spraw udzielania pozwoleń na budowę
335404	Urzędnik do spraw udzielania pozwoleń na prowadzenie działalności gospodarczej
335203	Urzędnik podatkowy
335301	Urzędnik ubezpieczeń społecznych
 
831210	Ustawiacz
752311	Ustawiacz maszyn do obróbki drewna
722315	Ustawiacz maszyn do obróbki skrawaniem
W	
933309	Wagowy
325512	Weterynaryjny kontroler sanitarny
751107	Wędliniarz
752312	Wiertacz drewna
811305	Wiertacz
811303	Wiertacz odwiertów eksploatacyjnych i geofizycznych
811304	Wiertacz studni
722316	Wiertacz w metalu
421403	Windykator
712505	Witrażownik
514208	Wizażystka / stylistka
235109	Wizytator
522103	Właściciel małego sklepu
515204	Właściciel małego zakładu agroturystycznego / hotelarskiego / gastronomicznego
933202	Wozak
621003	Wozak zrywkarz
962906	Woźny
516102	Wróżbita
814104	Wulkanizator
814105	Wulkanizator taśm przenośnikowych
962302	Wybieracz monet / żetonów z automatów
234202	Wychowawca małego dziecka
263506	Wychowawca w jednostkach penitencjarnych
235914	Wychowawca w placówkach oświatowych, wychowawczych i opiekuńczych
932914	Wydawca materiałów
524601	Wydawca posiłków / bufetowy
811111	Wydobywca kruszywa i gliny
235915	Wykładowca na kursach (edukator, trener)
818125	Wypalacz surowców i wyrobów ogniotrwałych
818126	Wypalacz wyrobów ceramicznych
753505	Wyprawiacz skór futerkowych
812119	Wytapiacz metali nieżelaznych
812120	Wytapiacz stali, surówki i żelazostopów
753304	Wytwórca abażurów
731902	Wytwórca galanterii
731903	Wytwórca sztucznych kwiatów
111201	Wyższy urzędnik państwowy
111202	Wyższy urzędnik placówki dyplomatycznej
111301	Wyższy urzędnik samorządowy
 
Z	
731904	Zabawkarz
532905	Zabiegowy balneologiczny
263606	Zakonnik
721105	Zalewacz form
961303	Zamiatacz
332302	Zaopatrzeniowiec
244003	Zarządca nieruchomości
132407	Zawiadowca stacji
342102	Zawodnik dyscypliny sportu
111401	Zawodowy działacz organizacji komercyjnej / pracodawców
111402	Zawodowy działacz organizacji politycznej
111403	Zawodowy działacz organizacji pozarządowej
111404	Zawodowy działacz organizacji profesjonalnej
111405	Zawodowy działacz organizacji związkowej
634002	Zbieracz owoców, ziół i innych roślin
711404	Zbrojarz
731609	Zdobnik ceramiki
731610	Zdobnik szkła
711203	Zdun
731106	Zegarmistrz
721209	Zgrzewacz
731305	Złotnik - jubiler
912903	Zmywacz graffiti
941202	Zmywacz naczyń
912301	Zmywacz okien (czyściciel szyb)
951004	Zmywacz szyb samochodowych uliczny
932915	Znakowacz wyrobów
516406	Zoofizjoterapeuta
516407	Zoopsycholog
831211	Zwrotniczy
Ż	
753305	Żaglownik
516304	Żałobnik
031101	Żołnierz szeregowy
343507	Żongler
